experiment,model,loss,optimizer,scheduler,best_epoch,best_val_accuracy,test_accuracy
simple_cnn_BCE_Adam_None,simple_cnn,BCE,Adam,None,10,0.918918918918919,0.8918918918918919
simple_cnn_BCE_Adam_ReduceLROnPlateau,simple_cnn,BCE,Adam,ReduceLROnPlateau,4,0.918918918918919,0.8648648648648649
simple_cnn_BCE_Adam_StepLR,simple_cnn,BCE,Adam,StepLR,1,0.918918918918919,0.8648648648648649
simple_cnn_BCE_SGD_None,simple_cnn,BCE,SGD,None,10,0.8108108108108109,0.7837837837837838
simple_cnn_BCE_SGD_ReduceLROnPlateau,simple_cnn,BCE,SGD,ReduceLROnPlateau,21,0.8378378378378379,0.8378378378378379
simple_cnn_BCE_SGD_StepLR,simple_cnn,BCE,SGD,StepLR,1,0.8378378378378379,0.8918918918918919
simple_cnn_MSE_Adam_None,simple_cnn,MSE,Adam,None,24,0.6216216216216217,0.6756756756756757
simple_cnn_MSE_Adam_ReduceLROnPlateau,simple_cnn,MSE,Adam,ReduceLROnPlateau,6,0.6486486486486487,0.7567567567567568
simple_cnn_MSE_Adam_StepLR,simple_cnn,MSE,Adam,StepLR,3,0.6486486486486487,0.7567567567567568
simple_cnn_MSE_SGD_None,simple_cnn,MSE,SGD,None,28,0.6216216216216217,0.6486486486486487
simple_cnn_MSE_SGD_ReduceLROnPlateau,simple_cnn,MSE,SGD,ReduceLROnPlateau,13,0.6216216216216217,0.7297297297297298
simple_cnn_MSE_SGD_StepLR,simple_cnn,MSE,SGD,StepLR,1,0.5945945945945946,0.7027027027027027
vgg16_BCE_Adam_None,vgg16,BCE,Adam,None,6,0.918918918918919,0.945945945945946
vgg16_BCE_Adam_ReduceLROnPlateau,vgg16,BCE,Adam,ReduceLROnPlateau,5,0.918918918918919,0.8918918918918919
vgg16_BCE_Adam_StepLR,vgg16,BCE,Adam,StepLR,1,0.918918918918919,0.8918918918918919
vgg16_BCE_SGD_None,vgg16,BCE,SGD,None,7,0.8648648648648649,0.918918918918919
vgg16_BCE_SGD_ReduceLROnPlateau,vgg16,BCE,SGD,ReduceLROnPlateau,2,0.8648648648648649,0.918918918918919
vgg16_BCE_SGD_StepLR,vgg16,BCE,SGD,StepLR,2,0.8918918918918919,0.918918918918919
vgg16_MSE_Adam_None,vgg16,MSE,Adam,None,27,0.8648648648648649,0.918918918918919
vgg16_MSE_Adam_ReduceLROnPlateau,vgg16,MSE,Adam,ReduceLROnPlateau,16,0.7567567567567568,0.8648648648648649
vgg16_MSE_Adam_StepLR,vgg16,MSE,Adam,StepLR,1,0.6486486486486487,0.7837837837837838
vgg16_MSE_SGD_None,vgg16,MSE,SGD,None,3,0.6486486486486487,0.7027027027027027
vgg16_MSE_SGD_ReduceLROnPlateau,vgg16,MSE,SGD,ReduceLROnPlateau,2,0.5945945945945946,0.7837837837837838
vgg16_MSE_SGD_StepLR,vgg16,MSE,SGD,StepLR,1,0.5675675675675675,0.7027027027027027
resnet50_BCE_Adam_None,resnet50,BCE,Adam,None,14,0.945945945945946,0.918918918918919
resnet50_BCE_Adam_ReduceLROnPlateau,resnet50,BCE,Adam,ReduceLROnPlateau,1,0.945945945945946,0.8918918918918919
resnet50_BCE_Adam_StepLR,resnet50,BCE,Adam,StepLR,1,0.945945945945946,0.8648648648648649
resnet50_BCE_SGD_None,resnet50,BCE,SGD,None,26,0.8378378378378379,0.8648648648648649
resnet50_BCE_SGD_ReduceLROnPlateau,resnet50,BCE,SGD,ReduceLROnPlateau,20,0.8918918918918919,0.8378378378378379
resnet50_BCE_SGD_StepLR,resnet50,BCE,SGD,StepLR,16,0.918918918918919,0.8378378378378379
resnet50_MSE_Adam_None,resnet50,MSE,Adam,None,16,0.7027027027027027,0.7567567567567568
resnet50_MSE_Adam_ReduceLROnPlateau,resnet50,MSE,Adam,ReduceLROnPlateau,1,0.6486486486486487,0.7027027027027027
resnet50_MSE_Adam_StepLR,resnet50,MSE,Adam,StepLR,1,0.6486486486486487,0.7027027027027027
resnet50_MSE_SGD_None,resnet50,MSE,SGD,None,24,0.6486486486486487,0.7027027027027027
resnet50_MSE_SGD_ReduceLROnPlateau,resnet50,MSE,SGD,ReduceLROnPlateau,9,0.6756756756756757,0.7027027027027027
resnet50_MSE_SGD_StepLR,resnet50,MSE,SGD,StepLR,1,0.6756756756756757,0.7027027027027027
